SchoolYear,DistrictNCES,DistrictID,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,OpenDate,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,LastVerifiedDate
2020-2021,0200004,888659,Yupiit School District,Public,Akiachak,AK,463,08/12/2020,Online Only,No,No,No,No,Required for all staff,Required for all students,Yes,No,Closed indefinitely,Yes,01/11/2021
2020-2021,,2442904,Alaska Conference of SDA Education Dept,Private,Anchorage,AK,,09/08/2020,Hybrid,No,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Unknown,11/09/2020
2020-2021,0200010,888610,Aleutian Region School District,Public,Anchorage,AK,27,09/08/2020,On Premises,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,11/30/2020
2020-2021,0200180,888658,Anchorage School District,Public,Anchorage,AK,48347,08/25/2020,Online Only,No,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,12/28/2020
2020-2021,0200800,888657,Chugach School District,Public,Anchorage,AK,517,08/17/2020,Online Only,No,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,01/04/2021
2020-2021,0200730,888599,Chatham School District,Public,Angoon,AK,156,10/05/2020,Hybrid,No,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,12/03/2020
2020-2021,0200760,888660,Kuspuk School District,Public,Aniak,AK,385,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,0200001,888627,Lower Kuskokwim School District,Public,Bethel,AK,4310,09/08/2020,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,09/01/2020
2020-2021,0200005,888628,Kashunamiut School District,Public,Chevak,AK,323,08/17/2020,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Unknown,Yes,Unknown,Never closed,Unknown,12/30/2020
2020-2021,0200060,888629,Cordova School District,Public,Cordova,AK,342,08/24/2020,Hybrid,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed indefinitely,Yes,12/30/2020
2020-2021,0200090,888609,Craig City School District,Public,Craig,AK,620,08/31/2020,On Premises,No,Yes,No,Yes,Not required,Not required,Yes,Yes,Closed indefinitely,Yes,12/15/2020
